,RSI,KD,MA,MACD,Strength,Trend
841,-2,-1,-1,1,-3,0
842,0,2,2,1,2,3
843,0,1,1,1,1,2
844,0,1,1,1,1,2
845,0,1,-2,1,1,-1
846,0,1,2,1,1,3
847,1,1,1,1,2,2
848,0,1,-2,1,1,-1
849,0,-2,-1,1,-2,0
850,0,-1,-1,1,-1,0
851,0,-1,2,-2,-1,0
852,0,-1,1,-1,-1,0
853,0,-1,1,-1,-1,0
854,1,-1,1,-1,0,0
855,1,-1,1,-1,0,0
856,2,2,1,-1,4,0
857,1,1,1,-1,2,0
858,2,1,1,-1,3,0
859,2,1,1,-1,3,0
860,0,1,-2,-1,1,-3
861,0,1,-1,-1,1,-2
862,0,-2,2,-1,-2,1
863,0,-1,1,-1,-1,0
864,0,-1,-2,-1,-1,-3
865,0,2,-1,-1,2,-2
866,0,1,-1,-1,1,-2
867,0,1,-1,-1,1,-2
868,0,-2,2,-1,-2,1
869,0,2,1,-1,2,0
870,2,1,1,-1,3,0
871,2,1,1,-1,3,0
872,0,1,1,-1,1,0
873,1,-2,1,-1,-1,0
874,0,-1,-2,-1,-1,-3
875,0,-1,-1,-1,-1,-2
876,0,-1,2,-1,-1,1
877,0,-1,1,-1,-1,0
878,0,-1,1,-1,-1,0
879,0,-1,-2,2,-1,0
880,0,-1,-1,1,-1,0
881,1,-1,-1,1,0,0
882,0,2,-1,1,2,0
883,-1,1,-1,1,0,0
884,0,-2,-1,1,-2,0
885,0,-1,2,1,-1,3
886,0,-1,1,1,-1,2
887,-2,2,-2,1,0,-1
888,0,-2,-1,1,-2,0
889,0,2,2,1,2,3
890,0,-2,-2,1,-2,-1
891,0,-1,2,1,-1,3
892,0,2,1,1,2,2
893,1,1,1,1,2,2
894,0,1,1,1,1,2
895,0,1,1,1,1,2
896,2,1,1,-2,3,-1
897,2,1,1,-1,3,0
898,2,1,1,-1,3,0
899,1,-2,1,-1,-1,0
900,2,-1,1,-1,1,0
901,0,-1,-2,-1,-1,-3
902,1,-1,2,-1,0,1
903,0,-1,1,-1,-1,0
904,0,-1,-2,-1,-1,-3
905,0,-1,2,-1,-1,1
906,0,-1,1,-1,-1,0
907,2,-1,1,-1,1,0
908,0,-1,1,-1,-1,0
909,1,-1,1,-1,0,0
910,2,2,1,-1,4,0
911,2,1,1,-1,3,0
912,1,1,1,-1,2,0
913,2,1,1,-1,3,0
914,2,1,1,-1,3,0
915,1,1,1,-1,2,0
916,1,1,1,-1,2,0
917,0,-2,-2,-1,-2,-3
918,2,-1,2,-1,1,1
919,0,-1,-2,2,-1,0
920,0,-1,2,1,-1,3
921,0,2,1,1,2,2
922,0,1,-2,1,1,-1
923,0,1,2,1,1,3
924,0,1,-2,1,1,-1
925,0,1,-1,1,1,0
926,0,1,2,1,1,3
927,0,1,1,1,1,2
928,0,1,1,1,1,2
929,0,-2,1,1,-2,2
930,0,-1,1,1,-1,2
931,2,-1,1,1,1,2
932,0,2,-2,1,2,-1
933,2,-2,2,1,0,3
934,1,-1,1,1,0,2
935,1,2,1,-2,3,-1
936,1,1,1,-1,2,0
937,0,1,-2,-1,1,-3
938,0,1,-1,-1,1,-2
939,0,1,-1,2,1,1
940,0,1,-1,1,1,0
941,-2,1,-1,1,-1,0
942,-2,1,-1,1,-1,0
943,0,1,-1,1,1,0
944,0,1,-1,1,1,0
945,0,1,2,1,1,3
946,0,-2,-2,1,-2,-1
947,0,-1,-1,1,-1,0
948,0,-1,2,1,-1,3
949,0,-1,1,1,-1,2
950,0,-1,1,1,-1,2
951,0,-1,-2,1,-1,-1
952,2,-1,-1,1,1,0
953,1,-1,2,1,0,3
954,1,-1,1,1,0,2
955,1,-1,1,1,0,2
956,0,-1,-2,1,-1,-1
957,1,-1,2,1,0,3
958,0,-1,-2,1,-1,-1
959,0,-1,2,1,-1,3
960,0,-1,1,1,-1,2
961,0,-1,1,1,-1,2
962,1,-1,1,-2,0,-1
963,0,-1,1,-1,-1,0
964,2,-1,1,-1,1,0
965,2,-1,1,-1,1,0
966,2,-1,1,-1,1,0
967,1,-1,-2,-1,0,-3
968,1,-1,2,-1,0,1
969,1,2,1,-1,3,0
970,0,1,1,-1,1,0
971,2,-2,1,-1,0,0
972,2,2,1,-1,4,0
973,2,1,1,-1,3,0
974,1,1,1,-1,2,0
975,0,1,-2,-1,1,-3
976,0,1,-1,-1,1,-2
977,0,-2,-1,2,-2,1
978,0,2,2,1,2,3
979,0,1,1,-2,1,-1
980,0,1,1,-1,1,0
981,1,1,1,-1,2,0
982,2,1,1,-1,3,0
983,2,1,1,-1,3,0
984,1,1,1,-1,2,0
985,1,1,1,-1,2,0
986,1,1,1,-1,2,0
987,1,1,1,-1,2,0
988,2,1,1,-1,3,0
989,0,-2,-2,-1,-2,-3
990,0,-1,-1,-1,-1,-2
991,0,-1,-1,-1,-1,-2
992,-2,-1,-1,2,-3,1
993,-1,-1,2,1,-2,3
994,0,-1,1,1,-1,2
995,1,2,1,1,3,2
996,0,1,1,1,1,2
997,1,-2,1,1,-1,2
998,2,-1,1,1,1,2
999,2,-1,1,1,1,2
1000,1,2,1,1,3,2
1001,1,1,1,1,2,2
1002,2,1,1,1,3,2
1003,2,1,1,1,3,2
1004,0,1,-2,1,1,-1
1005,0,1,2,1,1,3
1006,1,1,1,1,2,2
1007,0,1,-2,1,1,-1
1008,0,1,-1,1,1,0
1009,0,1,-1,1,1,0
1010,0,1,2,1,1,3
1011,0,1,1,1,1,2
1012,0,1,1,1,1,2
1013,0,1,1,1,1,2
1014,1,1,-2,1,2,-1
1015,1,-2,-1,1,-1,0
1016,0,-1,-1,1,-1,0
1017,0,-1,-1,1,-1,0
1018,-2,-1,-1,1,-3,0
1019,0,-1,2,1,-1,3
1020,0,-1,1,1,-1,2
1021,0,-1,1,1,-1,2
1022,0,-1,-2,1,-1,-1
1023,0,-1,-1,1,-1,0
1024,0,-1,2,1,-1,3
1025,0,-1,1,1,-1,2
1026,0,-1,1,1,-1,2
1027,2,2,1,-2,4,-1
1028,1,1,1,-1,2,0
1029,2,1,1,-1,3,0
1030,2,1,1,-1,3,0
1031,2,1,1,-1,3,0
1032,2,1,1,-1,3,0
1033,1,1,1,-1,2,0
1034,1,1,1,-1,2,0
1035,2,1,1,-1,3,0
1036,2,1,-2,-1,3,-3
1037,0,1,-1,-1,1,-2
1038,0,1,2,-1,1,1
1039,-1,1,1,-1,0,0
1040,0,1,1,2,1,3
1041,0,-2,1,1,-2,2
1042,0,-1,1,1,-1,2
1043,1,-1,1,1,0,2
1044,1,-1,1,1,0,2
1045,0,-1,1,1,-1,2
1046,1,-1,1,1,0,2
1047,1,2,1,1,3,2
1048,0,1,1,1,1,2
1049,2,-2,1,1,0,2
1050,0,-1,1,1,-1,2
1051,0,-1,-2,1,-1,-1
1052,0,-1,2,1,-1,3
1053,0,-1,-2,1,-1,-1
1054,0,-1,2,1,-1,3
1055,0,-1,1,1,-1,2
1056,0,-1,1,1,-1,2
1057,1,-1,1,1,0,2
1058,0,2,1,1,2,2
1059,0,1,-2,1,1,-1
1060,0,1,2,1,1,3
1061,1,1,1,1,2,2
1062,1,1,1,1,2,2
1063,0,1,-2,1,1,-1
1064,0,1,-1,1,1,0
1065,0,1,-1,1,1,0
1066,0,1,-1,1,1,0
1067,-1,1,-1,1,0,0
1068,-1,1,-1,1,0,0
1069,0,-2,2,1,-2,3
1070,1,-1,1,1,0,2
1071,0,-1,-2,1,-1,-1
1072,0,2,-1,1,2,0
1073,0,1,-1,1,1,0
1074,0,1,-1,1,1,0
1075,-2,1,-1,1,-1,0
1076,-1,1,-1,1,0,0
1077,-1,1,-1,1,0,0
1078,0,1,2,1,1,3
1079,0,1,-2,1,1,-1
1080,0,-2,2,1,-2,3
1081,1,-1,1,1,0,2
1082,0,-1,1,-2,-1,-1
1083,2,2,1,-1,4,0
1084,2,1,1,-1,3,0
1085,2,1,1,-1,3,0
1086,1,-2,1,-1,-1,0
1087,0,-1,-2,-1,-1,-3
1088,1,-1,2,-1,0,1
1089,0,-1,1,-1,-1,0
1090,0,-1,1,-1,-1,0
1091,0,-1,-2,-1,-1,-3
1092,0,-1,-1,2,-1,1
1093,-2,-1,-1,1,-3,0
1094,-2,-1,-1,1,-3,0
1095,-2,-1,-1,1,-3,0
1096,-1,2,2,1,1,3
1097,-1,1,1,1,0,2
1098,-1,1,-2,1,0,-1
1099,0,1,-1,1,1,0
1100,0,1,-1,1,1,0
1101,0,1,-1,1,1,0
1102,-2,1,-1,1,-1,0
1103,-2,1,-1,1,-1,0
1104,-2,-2,-1,1,-4,0
1105,-2,-1,-1,1,-3,0
1106,-2,-1,-1,1,-3,0
1107,-2,-1,-1,1,-3,0
1108,0,-1,2,1,-1,3
1109,0,2,1,1,2,2
1110,0,1,1,1,1,2
1111,0,1,1,1,1,2
1112,0,1,-2,1,1,-1
1113,1,-2,2,-2,-1,0
1114,0,-1,1,-1,-1,0
1115,0,2,1,-1,2,0
1116,0,-2,1,-1,-2,0
1117,0,-1,1,-1,-1,0
1118,1,-1,1,-1,0,0
1119,1,-1,1,-1,0,0
1120,0,2,-2,-1,2,-3
1121,2,-2,2,-1,0,1
1122,1,-1,1,-1,0,0
1123,2,2,1,-1,4,0
1124,2,1,1,-1,3,0
1125,2,1,1,-1,3,0
1126,2,1,1,-1,3,0
1127,2,1,1,-1,3,0
1128,2,1,1,-1,3,0
1129,1,1,1,-1,2,0
1130,1,1,1,-1,2,0
1131,1,1,1,-1,2,0
1132,1,1,1,-1,2,0
1133,0,1,-2,-1,1,-3
1134,-1,-2,-1,-1,-3,-2
1135,0,-1,-1,-1,-1,-2
1136,-2,-1,-1,-1,-3,-2
1137,0,-1,2,-1,-1,1
1138,0,2,1,-1,2,0
1139,0,-2,-2,-1,-2,-3
1140,0,-1,-1,2,-1,1
1141,0,-1,-1,1,-1,0
1142,0,-1,-1,1,-1,0
1143,-1,-1,-1,1,-2,0
1144,0,-1,2,1,-1,3
1145,0,-1,-2,1,-1,-1
1146,0,2,2,1,2,3
1147,0,1,1,1,1,2
1148,0,-2,1,1,-2,2
1149,2,-1,1,1,1,2
1150,2,2,1,1,4,2
1151,2,1,1,-2,3,-1
1152,2,1,1,-1,3,0
1153,2,1,1,-1,3,0
1154,2,-2,1,-1,0,0
1155,0,-1,-2,-1,-1,-3
1156,0,-1,-1,-1,-1,-2
1157,1,2,2,-1,3,1
1158,0,-2,-2,-1,-2,-3
1159,0,-1,-1,-1,-1,-2
1160,0,-1,-1,2,-1,1
1161,0,-1,-1,1,-1,0
1162,0,-1,2,1,-1,3
1163,-1,-1,-2,1,-2,-1
1164,0,-1,2,1,-1,3
1165,0,-1,-2,1,-1,-1
1166,0,-1,-1,1,-1,0
1167,-1,2,-1,1,1,0
1168,-2,1,-1,1,-1,0
1169,-2,-2,-1,1,-4,0
1170,-2,-1,-1,1,-3,0
1171,-1,-1,2,1,-2,3
1172,0,-1,1,1,-1,2
1173,0,-1,1,1,-1,2
1174,0,-1,-2,1,-1,-1
1175,1,-1,-1,1,0,0
1176,0,-1,-1,1,-1,0
1177,0,-1,2,1,-1,3
1178,0,-1,1,1,-1,2
1179,-1,2,-2,1,1,-1
1180,0,1,-1,1,1,0
1181,-2,1,-1,1,-1,0
1182,0,1,2,1,1,3
1183,0,1,1,1,1,2
1184,-1,1,-2,1,0,-1
1185,0,1,2,1,1,3
1186,0,-2,1,-2,-2,-1
1187,0,-1,1,-1,-1,0
1188,0,2,-2,2,2,0
1189,0,1,-1,1,1,0
1190,0,-2,-1,1,-2,0
1191,0,-1,-1,1,-1,0
1192,-1,2,-1,1,1,0
1193,0,1,-1,1,1,0
1194,1,1,-1,-2,2,-3
1195,1,-2,2,-1,-1,1
1196,1,2,1,-1,3,0
1197,1,1,1,-1,2,0
1198,1,1,1,-1,2,0
1199,2,1,1,-1,3,0
1200,2,1,1,-1,3,0
1201,2,-2,1,-1,0,0
1202,0,-1,1,-1,-1,0
1203,1,-1,-2,-1,0,-3
1204,0,-1,-1,-1,-1,-2
1205,0,-1,2,-1,-1,1
1206,0,-1,1,-1,-1,0
1207,0,-1,1,-1,-1,0
1208,0,-1,-2,-1,-1,-3
1209,-1,2,-1,-1,1,-2
1210,0,-2,2,-1,-2,1
1211,-1,2,-2,2,1,0
1212,0,-2,-1,1,-2,0
1213,0,-1,2,1,-1,3
1214,0,-1,1,1,-1,2
1215,0,-1,1,1,-1,2
1216,0,-1,-2,1,-1,-1
1217,2,2,2,1,4,3
1218,2,1,1,-2,3,-1
1219,2,1,1,-1,3,0
1220,1,-2,1,-1,-1,0
1221,1,-1,1,-1,0,0
1222,2,-1,1,-1,1,0
1223,2,-1,1,-1,1,0
1224,0,-1,1,-1,-1,0
1225,0,-1,-2,-1,-1,-3
1226,0,-1,-1,-1,-1,-2
1227,0,-1,-1,-1,-1,-2
1228,0,-1,-1,-1,-1,-2
1229,-2,-1,-1,-1,-3,-2
1230,0,-1,2,2,-1,4
1231,0,2,-2,1,2,-1
1232,-1,1,-1,1,0,0
1233,-2,-2,-1,1,-4,0
1234,0,-1,-1,1,-1,0
1235,0,-1,2,1,-1,3
1236,-1,-1,1,1,-2,2
1237,0,-1,1,1,-1,2
1238,2,2,1,1,4,2
1239,0,-2,-2,1,-2,-1
1240,-1,-1,-1,1,-2,0
1241,0,-1,-1,1,-1,0
1242,0,-1,2,1,-1,3
1243,-1,-1,-2,1,-2,-1
1244,-1,-1,-1,1,-2,0
1245,-1,-1,-1,1,-2,0
1246,0,2,-1,1,2,0
1247,-2,1,-1,1,-1,0
1248,-2,1,-1,1,-1,0
1249,-2,1,-1,1,-1,0
1250,0,1,2,1,1,3
1251,0,1,1,1,1,2
1252,0,1,1,1,1,2
1253,0,-2,1,1,-2,2
1254,1,-1,1,-2,0,-1
1255,2,-1,1,-1,1,0
1256,2,2,1,-1,4,0
1257,2,1,1,-1,3,0
1258,1,1,-2,-1,2,-3
1259,2,1,2,-1,3,1
1260,1,1,1,-1,2,0
1261,2,1,1,-1,3,0
1262,0,1,-2,-1,1,-3
