,RSI,KD,MA,MACD,Strength,Trend
195,-1,-1,-1,1,-2,0
196,-2,-1,-1,1,-3,0
197,-1,-1,-1,1,-2,0
198,0,-1,-1,1,-1,0
199,0,-1,2,1,-1,3
200,0,-1,1,1,-1,2
201,0,2,1,1,2,2
202,0,-2,1,1,-2,2
203,2,-1,1,-2,1,-1
204,2,-1,1,-1,1,0
205,2,2,1,-1,4,0
206,2,1,1,-1,3,0
207,1,1,-2,-1,2,-3
208,1,1,-1,-1,2,-2
209,0,1,-1,-1,1,-2
210,0,1,-1,-1,1,-2
211,-2,-2,-1,-1,-4,-2
212,-2,-1,-1,-1,-3,-2
213,-2,-1,-1,-1,-3,-2
214,0,-1,2,-1,-1,1
215,1,-1,1,-1,0,0
216,0,-1,1,-1,-1,0
217,1,-1,1,-1,0,0
218,1,2,1,-1,3,0
219,0,1,-2,-1,1,-3
220,0,1,2,-1,1,1
221,0,1,-2,-1,1,-3
222,0,1,2,-1,1,1
223,0,1,-2,-1,1,-3
224,-1,1,-1,-1,0,-2
225,0,1,2,-1,1,1
226,0,1,-2,-1,1,-3
227,1,-2,2,-1,-1,1
228,1,-1,1,-1,0,0
229,2,-1,1,-1,1,0
230,2,-1,1,-1,1,0
231,1,-1,-2,-1,0,-3
232,2,2,2,-1,4,1
233,2,1,1,-1,3,0
234,0,1,1,-1,1,0
235,0,1,1,-1,1,0
236,0,-2,-2,-1,-2,-3
237,0,-1,-1,-1,-1,-2
238,0,-1,2,-1,-1,1
239,0,-1,-2,-1,-1,-3
240,0,-1,-1,-1,-1,-2
241,-2,2,-1,2,0,1
242,0,1,2,1,1,3
243,0,1,-2,1,1,-1
244,0,1,-1,1,1,0
245,0,1,-1,1,1,0
246,0,1,-1,1,1,0
247,0,1,2,1,1,3
248,-1,1,-2,1,0,-1
249,0,1,2,1,1,3
250,2,1,1,1,3,2
251,0,1,-2,1,1,-1
252,0,1,2,1,1,3
253,0,1,-2,1,1,-1
254,0,1,2,1,1,3
255,1,-2,1,-2,-1,-1
256,0,-1,1,-1,-1,0
257,0,-1,-2,-1,-1,-3
258,0,-1,-1,-1,-1,-2
259,1,-1,2,-1,0,1
260,2,-1,1,-1,1,0
261,1,2,1,-1,3,0
262,2,1,1,-1,3,0
263,2,1,1,-1,3,0
264,2,1,1,-1,3,0
265,2,1,1,-1,3,0
266,1,1,1,-1,2,0
267,1,1,-2,-1,2,-3
268,0,1,-1,-1,1,-2
269,0,1,-1,-1,1,-2
270,0,1,-1,-1,1,-2
271,0,1,2,-1,1,1
272,0,1,1,-1,1,0
273,0,1,1,2,1,3
274,0,1,1,1,1,2
275,2,-2,1,-2,0,-1
276,2,2,1,-1,4,0
277,2,1,1,-1,3,0
278,2,1,1,-1,3,0
279,2,1,1,-1,3,0
280,2,-2,1,-1,0,0
281,0,-1,-2,-1,-1,-3
282,0,-1,-1,-1,-1,-2
283,0,-1,-1,-1,-1,-2
284,0,-1,2,-1,-1,1
285,-1,-1,-2,2,-2,0
286,-2,-1,-1,1,-3,0
287,0,-1,2,1,-1,3
288,0,-1,-2,1,-1,-1
289,0,2,-1,1,2,0
290,0,1,-1,1,1,0
291,0,1,2,1,1,3
292,0,1,1,1,1,2
293,0,-2,1,1,-2,2
294,2,2,1,-2,4,-1
295,2,1,1,-1,3,0
296,1,1,1,-1,2,0
